 x y z Bx By Bz
0 564.0 -50 100.0 0.006001696534997731 0.690107764504889 -0.230797894474673
1 563.8553103985718 -50 116.57978611541934 0.009946531788641827 0.7839319849178368 -0.22472188819339123
2 563.421285668141 -50 133.15452186737593 -0.0027724528140408225 0.8781189965978565 -0.2097252005941224
3 562.6980580168452 -50 149.71915843079665 0.01809013707246926 0.9671883171041435 -0.21199437327690032
4 561.685847746833 -50 166.26865005691906 -0.003367726176784741 1.062041051476726 -0.17898379164596034
5 560.3849631871583 -50 182.79795561027527 0.011903347337955976 1.1437033511778412 -0.16137518620929756
6 558.7958005998596 -50 199.3020401042708 0.01548727373105931 1.2050790028941736 -0.11599473825393852
7 556.9188440592559 -50 215.77587623489012 0.013178719289073245 1.2420057571301661 -0.07760829985682006
8 554.7546653044918 -50 232.21444591206216 0.02606175406542496 1.270063459329185 -0.06039720299220297
9 552.3039235653808 -50 248.61274178821932 0.0416842092406282 1.2910840325749549 -0.048889104382317125
10 549.5673653615976 -50 264.9657687835838 0.043084112241875375 1.306977492988768 -0.019674680970299754
11 546.5458242752808 -50 281.26854560771756 0.046756139528367824 1.3205655049174219 -0.016456433646409432
12 543.2402206971154 -50 297.51610627687137 0.03202355670041183 1.3302914401683514 -0.006301483651254539
13 539.6515615459734 -50 313.7035016266717 0.041828748370798634 1.3375519542463847 0.0013321780988442937
14 535.7809399621966 -50 329.82580081968433 0.03757579402189999 1.3416438303457552 0.00979201058362784
15 531.6295349746149 -50 345.87809284739467 0.03458956019124139 1.342221207980756 0.02140206054882513
16 527.1986111414029 -50 361.8554880261492 0.028471341429178378 1.338123858238553 0.035247975915467064
17 522.4895181648837 -50 377.75311948659987 0.021438379435440164 1.3257699158678473 0.0570309878291906
18 517.5036904803959 -50 393.56614465620004 0.016221324276329656 1.2969780465351275 0.080848776710751
19 512.242646819351 -50 409.2897467342989 0.01225747298950798 1.2486277913397301 0.09008124111869908
20 506.70798974661295 -50 424.9191361593853 0.011241063873224589 1.197184837988527 0.09035386635687778
21 500.9014051723417 -50 440.44955206803525 0.01569548771609273 1.156203548979744 0.06867888310498974
22 494.82466183844804 -50 455.87626374511643 0.020128424579357727 1.1329831041677505 0.0514107990754811
23 488.47961077981836 -50 471.19457206481 0.02735821044590765 1.1219256442361274 0.02949806726481898
24 481.86818476047085 -50 486.39981092201015 0.03225487387000158 1.1219773305875693 0.007750479662510002
25 474.99239768481743 -50 501.48734865366447 0.03803301966865238 1.132436719409215 -0.014200523239400784
26 467.85434398420864 -50 516.4525894496235 0.048270276594818466 1.1556890015139003 -0.037578714921324266
27 460.4561979789495 -50 531.2909747525694 0.05478812674294624 1.1943443401670437 -0.051166597793259154
28 452.80021321598065 -50 545.9979846465963 0.059282948615413444 1.2445424506799976 -0.05787649249615355
29 444.88872178242593 -50 560.5691392340202 0.05285732547073417 1.2942490166868277 -0.051833422112596776
30 436.7241335952168 -50 575.0 0.040768804769499345 1.3240318527834383 -0.03132747800546526
31 428.3089356670067 -50 589.2861711645514 0.023109932331821136 1.3359834165118543 -0.011490938002832707
32 419.6456913486047 -50 603.4233010215446 0.011854706813315938 1.3393168101757007 -0.0036104498741574035
33 410.7370395481529 -50 617.4070832642756 0.0049396705217400055 1.337633244081554 0.0012253514996180884
34 401.58569392728964 -50 631.2332582972094 -0.00780328205519927 1.3321433803751255 0.004538069486216695
35 392.19444207454217 -50 644.8976145334938 -0.025723096034522823 1.3234119070958004 0.009958089879874758
36 382.5661446562001 -50 658.3959896778495 -0.06595554618270845 1.3096508101820512 -0.012234000071968565
37 372.70373454492824 -50 671.7242719944459 -0.08641287296893271 1.290830828967195 -0.01327757064473499
38 362.61021592638576 -50 684.8784015593753 -0.09205200379862089 1.2696598021108054 0.004542223945220608
39 352.2886633841223 -50 697.8543714973456 -0.11786575744963786 1.2404530090984058 4.146784573090534e-05
40 341.74222096302924 -50 710.6482292022123 -0.12737893644073914 1.2011799563209873 0.026999774516181005
41 330.9741012116334 -50 723.2560775409819 -0.14703062841408687 1.1493873931632437 0.08363502286715327
42 319.98758420352453 -50 735.6740760409153 -0.13745664433311744 1.0820075447866655 0.10604414830673226
