' This table was produced from the 2012 Mass evaluation.
' It contains experimental masses and systematic estimations.
' See kh/Dokumente/Literature/Full-Text-Special/Masses-2012/MakeTable.jbas.
0  1  0 
0  1  0.4e-7 
1  1  0.9e-7 
1  2  -2.22456586 
1  3  -8.48179859 
2  3  -7.71804259 
3  3  6.8000885 
1  4  -6.8817988 
2  4  -28.2956596 
3  4  -4.6150426 
1  5  -6.6817989 
2  5  -27.5606593 
3  5  -26.3306597 
4  5  -0.0881991 
1  6  -5.769839 
2  6  -29.2711144 
3  6  -31.9939839 
4  6  -26.9234822 
5  6  2.8038304 
1  7  -6.5818731 
2  7  -28.8614005 
3  7  -39.2450747 
4  7  -37.6008343 
5  7  -24.9109367 
2  8  -31.3961626 
3  8  -41.277693 
4  8  -56.4994794 
5  8  -37.7372268 
6  8  -24.8121882 
2  9  -30.1412647 
3  9  -45.3399121 
4  9  -58.1640145 
5  9  -56.3136329 
6  9  -39.0368043 
2  10  -29.9761618 
3  10  -45.3135072 
4  10  -64.9762966 
5  10  -64.750748 
6  10  -60.3203364 
7  10  -36.4366378 
3  11  -45.7091943 
4  11  -65.4779347 
5  11  -76.2048721 
6  11  -73.4401135 
7  11  -59.0044199 
3  12  -45.5891944 
4  12  -68.6486598 
5  12  -79.5746562 
6  12  -92.1617256 
7  12  -74.041307 
8  12  -58.6823364 
3  13  -44.2391945 
4  13  -68.1386599 
5  13  -84.4532703 
6  13  -97.108034 
7  13  -94.1052151 
8  13  -75.5529105 
4  14  -69.914555 
5  14  -85.4230214 
6  14  -105.284467 
7  14  -104.658597 
8  14  -98.7322096 
9  14  -73.99291 
4  15  -68.1803701 
5  15  -88.2000355 
6  15  -106.502533 
7  15  -115.491892 
8  15  -111.955379 
9  15  -97.2218271 
4  16  -68.5645552 
5  16  -88.1170696 
6  16  -110.752866 
7  16  -117.98074 
8  16  -127.619302 
9  16  -111.4197 
10  16  -97.3314536 
5  17  -89.5298417 
6  17  -111.487533 
7  17  -123.86589 
8  17  -131.762382 
9  17  -128.21957 
10  17  -112.888474 
5  18  -89.5248418 
6  18  -115.671504 
7  18  -126.694114 
8  18  -139.807751 
9  18  -137.369475 
10  18  -132.142619 
11  18  -111.640964 
5  19  -90.6662919 
6  19  -116.248333 
7  19  -132.023078 
8  19  -143.763394 
9  19  -147.80135 
10  19  -143.779505 
11  19  -131.819821 
12  19  -112.138474 
5  20  -90.381609 
6  20  -119.174652 
7  20  -134.184806 
8  20  -151.371401 
9  20  -154.402686 
10  20  -160.644807 
11  20  -145.969925 
12  20  -134.479516 
5  21  -89.8649261 
6  21  -119.16058 
7  21  -138.770069 
8  21  -155.176979 
9  21  -162.504149 
10  21  -167.405969 
11  21  -163.076483 
12  21  -149.195985 
13  21  -132.337153 
6  22  -119.284653 
7  22  -140.053875 
8  22  -162.026881 
9  22  -167.73448 
10  22  -177.770224 
11  22  -174.144682 
12  22  -168.580756 
13  22  -149.19747 
14  22  -133.278124 
6  23  -116.775214 
7  23  -141.841867 
